Date,Amount,Memo
01/02/2026,2000.00,Payroll Deposit
01/02/2026,-12.45,Starbucks Coffee #442
01/03/2026,-4.50,MBTA Transit Fare
01/04/2026,-8.20,Vending Machine Snack
01/04/2026,-21.30,CVS Pharmacy
01/05/2026,-15.00,Local Deli Lunch
01/06/2026,-950.00,Monthly Rent Payment
01/07/2026,-5.75,Dunkin' Donuts
01/08/2026,-3.25,Parking Meter
01/09/2026,-18.90,Chipotle Mexican Grill
01/10/2026,-11.00,Netflix Subscription
01/10/2026,-550.00,Geico Auto Insurance
01/11/2026,-6.40,Morning Coffee
01/12/2026,-14.25,Burger King
01/13/2026,-4.00,Bus Fare
01/14/2026,-22.10,Walgreens
01/15/2026,-10.50,City Cafe
01/16/2026,-7.80,Gas Station Snacks
01/17/2026,-19.45,Trader Joe's
01/18/2026,-1100.00,Apple Store Purchase
01/19/2026,-3.50,Newspaper Stand
01/20/2026,-24.00,Movie Ticket
01/21/2026,-5.20,Public Transit
01/22/2026,-12.00,Subway Sandwich
01/23/2026,-16.75,Target Express
01/24/2026,-4.90,Afternoon Tea
01/25/2026,-850.00,Luxury Gym Membership
01/26/2026,-20.00,Uber Trip
01/27/2026,-7.15,Bagel Shop
01/28/2026,-13.60,7-Eleven
01/29/2026,-5.00,App Store Purchase
01/30/2026,-22.50,Pizza Hut
01/31/2026,-9.30,Dry Cleaners
02/02/2026,2000.00,Payroll Deposit
02/02/2026,-600.00,Student Loan Payment
02/03/2026,-14.80,Panera Bread
02/04/2026,-4.25,Subway Fare
02/05/2026,-11.40,Bodega Grocery
02/06/2026,-23.15,Amazon.com
02/07/2026,-6.50,Morning Latte
02/08/2026,-950.00,Monthly Rent Payment
02/09/2026,-18.20,Taco Bell
02/10/2026,-3.75,Parking Garage
02/11/2026,-12.90,Office Supplies
02/12/2026,-21.00,Pharmacy Store
02/13/2026,-450.00,Delta Air Lines
02/14/2026,-25.00,Valentine Flowers
02/15/2026,-7.20,Street Vendor
02/16/2026,-15.50,Shake Shack
02/17/2026,-5.10,Train Fare
02/18/2026,-10.30,Spotify Premium
02/19/2026,-19.95,Home Depot
02/20/2026,-750.00,Laptop Repair
02/21/2026,-8.40,Juice Bar
02/22/2026,-4.60,Newsstand
02/23/2026,-17.25,Pet Store Snacks
02/24/2026,-12.80,Five Guys
02/25/2026,-6.00,Car Wash
02/26/2026,-23.50,Rite Aid
02/27/2026,-1200.00,Quarterly Taxes
02/28/2026,-14.10,Bakery
03/02/2026,2000.00,Payroll Deposit
03/02/2026,-9.50,Daily Coffee
03/03/2026,-21.40,Whole Foods Market
03/04/2026,-5.25,Bus Ticket
03/05/2026,-11.60,Wendy's
03/06/2026,-950.00,Monthly Rent Payment
03/07/2026,-16.30,Hardware Store
03/08/2026,-4.80,Vending Machine
03/09/2026,-24.50,Dinner Takeout
03/10/2026,-7.90,Smoothie King
03/11/2026,-420.00,Car Maintenance
03/12/2026,-13.20,Office Lunch
03/13/2026,-6.75,Morning Muffin
03/14/2026,-22.80,Target
03/15/2026,-3.10,Toll Booth
03/16/2026,-18.50,Post Office
03/17/2026,-980.00,Best Buy Tech
03/18/2026,-5.50,Transit Pass
03/19/2026,-12.40,McDonald's
03/20/2026,-20.15,Gas Station
03/21/2026,-4.00,Street Parking
03/22/2026,-15.90,Barnes & Noble
03/23/2026,-500.00,Furniture Store
03/24/2026,-9.20,Tea House
03/25/2026,-23.75,Amazon Prime
03/26/2026,-6.30,Ice Cream
03/27/2026,-11.00,Lunch Special
03/28/2026,-700.00,Medical Bill
03/29/2026,-14.60,Movie Rental
03/30/2026,-5.80,Donut Shop
03/31/2026,-22.00,Pharmacy
01/03/2026,-8.15,Coffee Shop
01/04/2026,-14.20,Lunch Express
01/05/2026,-5.50,Commuter Rail
01/06/2026,-19.40,Grocery Quick-pick
01/07/2026,-4.25,Soda and Chips
01/08/2026,-12.60,Deli Sandwich
01/09/2026,-24.80,Casual Dinner
01/10/2026,-6.70,Pastry Shop
01/11/2026,-11.30,Streaming Service
01/12/2026,-22.15,Pharmacy Essentials
